epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,20381.3,1.33798,1.23064,1.39888,0.61715,0.61565,0.63004,0.34475,1.44685,1.26286,1.453,0.00149025,0.00149025,0.00149025
63,20630.9,1.36609,1.22966,1.40285,0.61038,0.63897,0.63629,0.34805,1.4494,1.22611,1.45771,0.0014655,0.0014655,0.0014655
64,20882.1,1.33722,1.21198,1.38988,0.60676,0.62154,0.62456,0.3442,1.43735,1.25227,1.4476,0.00144075,0.00144075,0.00144075
65,21132.8,1.33357,1.20499,1.38254,0.62085,0.61329,0.63479,0.34784,1.43794,1.2334,1.44126,0.001416,0.001416,0.001416
66,21383.3,1.32567,1.20096,1.38359,0.64795,0.58801,0.63367,0.3471,1.4617,1.23773,1.46438,0.00139125,0.00139125,0.00139125
67,21633.1,1.32502,1.18828,1.38799,0.61312,0.62689,0.63722,0.35155,1.45115,1.23702,1.46282,0.0013665,0.0013665,0.0013665
68,21883.3,1.33342,1.19222,1.39854,0.61068,0.62311,0.63021,0.34461,1.44588,1.22422,1.45259,0.00134175,0.00134175,0.00134175
69,22134.3,1.31661,1.18296,1.37521,0.64144,0.60624,0.63337,0.34218,1.46879,1.24055,1.46941,0.001317,0.001317,0.001317
70,22385.2,1.31462,1.17762,1.36975,0.61525,0.62236,0.62767,0.34993,1.42759,1.23801,1.45129,0.00129225,0.00129225,0.00129225
71,22634.8,1.31176,1.16998,1.3774,0.65234,0.60137,0.6366,0.34212,1.48253,1.24047,1.48255,0.0012675,0.0012675,0.0012675
72,22885.3,1.317,1.17457,1.37263,0.61352,0.60668,0.62001,0.3354,1.46062,1.25191,1.46659,0.00124275,0.00124275,0.00124275
73,23135.8,1.30542,1.16531,1.36884,0.63184,0.63192,0.65225,0.35223,1.48269,1.2242,1.46141,0.001218,0.001218,0.001218
74,23385.1,1.30612,1.16302,1.3702,0.59872,0.61679,0.61118,0.33137,1.46803,1.26528,1.47586,0.00119325,0.00119325,0.00119325
